headline,url
  Διεθνή   Κορωνοϊός: Το Ισραήλ ξεκινά τη χορήγηση 3ης δόσης του εμβολίου - Ποιους αφορά ,https://www.lifo.gr/now/world/koronoios-israil-xekina-ti-horigisi-3is-dosis-toy-embolioy-poioys-afora
  Διεθνή   ΕΜΑ: Πιθανή σύνδεση σπάνιας καρδιακής φλεγμονής με εμβόλια mRNA ,https://www.lifo.gr/now/world/o-ema-entopizei-pithani-syndesi-metaxy-kardiakis-flegmonis-kai-embolion-mrna
  Διεθνή   Εμβόλιο Pfizer: Το Ισραήλ ανέφερε πτώση της προστασίας από μόλυνση και συμπτωματική νόσηση ,https://www.lifo.gr/now/world/israil-blepei-ptosi-tis-prostasias-poy-parehei-embolio-tis-pfizer-apo-ti-molynsi
  Τech & Science   Μελέτη ΕΚΠΑ: Ποιοι πρέπει να λάβουν και τρίτη δόση εμβολίου της Pfizer ,https://www.lifo.gr/now/tech-science/meleti-ekpa-poioi-prepei-na-laboyn-kai-triti-dosi-embolioy-tis-pfizer
"  Ελλάδα   Εύοσμος: 81χρονη πήρε φιαλίδιο της Pfizer από εμβολιαστικό κέντρο, «ως ενθύμιο» ",https://www.lifo.gr/now/greece/eyosmos-81hroni-pire-fialidio-tis-pfizer-apo-emboliastiko-kentro-os-enthymio
"  Διεθνή   Τα εμβόλια της AstraZeneca και της Pfizer είναι αποτελεσματικά απέναντι στην παραλλαγή Δέλτα, σύμφωνα με μελέτη ",https://www.lifo.gr/now/world/ta-embolia-tis-astrazeneca-kai-tis-pfizer-einai-apotelesmatika-apenanti-stin-parallagi
  Ελλάδα   Καλάβρυτα: Δεν φαίνεται να σχετίζεται ο θάνατος της 56χρονης με τον εμβολιασμό ,https://www.lifo.gr/now/greece/kalabryta-den-fainetai-na-shetizetai-o-thanatos-tis-56hronis-me-ton-emboliasmo
  Διεθνή   Το Ισραήλ στέλνει στους Παλαιστίνιους ένα εκατ. δόσεις Pfizer που λήγουν σύντομα ,https://www.lifo.gr/now/world/israil-stelnei-stoys-palaistinioys-ena-ekat-doseis-pfizer-poy-ligoyn-syntoma
  Ελλάδα   Παπαευαγγέλου: 25-27 αναφορές για μυοκαρδίτιδα μετά το Pfizer- Δεν έχουν συσχετιστεί σαφώς με το εμβόλιο ,https://www.lifo.gr/now/greece/papaeyaggeloy-25-27-anafores-gia-myokarditida-meta-pfizer-den-ehoyn-syshetistei-safos-me
  Ελλάδα   Eμβόλια Pfizer και Moderna -ΕΚΠΑ: Αυτές είναι οι παρενέργειες που έχουν αναφερθεί ,https://www.lifo.gr/now/greece/embolia-pfizer-kai-moderna-ekpa-aytes-einai-oi-parenergeies-poy-ehoyn-anaferthei
  Ελλάδα   Εμβολιασμός: Τέλος το AstraZeneca για κάτω των 60- Ανοίγει η πλατφόρμα για τους 18-24 ,https://www.lifo.gr/now/greece/emboliasmos-telos-astrazeneca-gia-kato-ton-60-anoigei-i-platforma-gia-toys-18-24
  Διεθνή   CDC: «Περισσότερες από το αναμενόμενο» οι καρδιακές φλεγμονές σε νέους άνδρες μετά τα εμβόλια Pfizer & Moderna ,https://www.lifo.gr/now/world/cdc-perissoteres-apo-anamenomeno-oi-periptoseis-kardiakis-flegmonis-se-nearoys-andres
  Διεθνή   Μπάιντεν: Οι ΗΠΑ θα αγοράσουν 500 εκατ. δόσεις εμβολίου για χώρες χαμηλού εισοδήματος ,https://www.lifo.gr/now/world/mpainten-oi-ipa-tha-agorasoyn-500-ekat-doseis-embolioy-gia-hores-hamiloy-eisodimatos
"  Ελλάδα   Κικίλιας: «Ανοίγουν» 420.000 ραντεβού με Moderna, Pfizer και Johnson & Johnson ",https://www.lifo.gr/now/greece/kikilias-anoigoyn-420000-ranteboy-me-moderna-pfizer-kai-johnson-johnson
  Ελλάδα   Γεωργαντάς: Από την επόμενη εβδομάδα οι εμβολιασμοί των 25-29 με Pfizer και Moderna ,https://www.lifo.gr/now/greece/georgantas-apo-tin-epomeni-ebdomada-oi-emboliasmoi-ton-25-29-me-pfizer-kai-moderna
  Διεθνή   Κορωνοϊός: Ποιες χώρες έδωσαν το «πράσινο φως» για τον εμβολιασμό των παιδιών άνω των 12 ετών ,https://www.lifo.gr/now/world/koronoios-poies-hores-edosan-prasino-fos-gia-ton-emboliasmo-ton-paidion-ano-ton-12-eton
  Ελλάδα   Κικίλιας: «Σπάει» η ηλικιακή ομάδα των 18-29 για τον εμβολιασμό με Pfizer και Moderna ,https://www.lifo.gr/now/greece/kikilias-spaei-i-ilikiaki-omada-ton-18-29-gia-ton-emboliasmo-me-pfizer-kai-moderna
  Διεθνή   Ισραήλ: «Πιθανή σύνδεση» του εμβολίου της Pfizer με περιστατικά μυοκαρδίτιδας ,https://www.lifo.gr/now/world/israil-pithani-syndesi-toy-embolioy-tis-pfizer-me-peristatika-myokarditidas
  Ελλάδα   Συνελήφθη 42χρονος στο Περιστέρι: Κατηγορείται ότι έκλεψε εμβόλια της Pfizer από εμβολιαστικό κέντρο ,https://www.lifo.gr/now/greece/synelifthi-42hronos-sto-peristeri-katigoreitai-oti-eklepse-embolia-tis-pfizer-apo
  Ελλάδα   Γεωργαντάς: Ανοίγουν οι εμβολιασμοί και με Pfizer & Moderna για τους 18-29 ετών ,https://www.lifo.gr/now/greece/georgantas-anoigoyn-oi-emboliasmoi-kai-me-pfizer-moderna-gia-toys-18-29-eton
