headline,url
  Διεθνή   EMA: Νέα προειδοποίηση για παρενέργειες μετά από εμβολιασμό με AstraZeneca και Johnson & Johnson ,https://www.lifo.gr/now/world/emboliasmos-nees-proeidopoiiseis-ema-gia-tis-parenergeies-se-astrazeneca-johnson-johnson
  Τech & Science   Έρευνα: Η ανάμιξη εμβολίων παρέχει καλή προστασία από τον κορωνοϊό- Ο «καλύτερος» συνδυασμός ,https://www.lifo.gr/now/tech-science/ereyna-i-anamixi-embolion-parehei-kali-prostasia-apo-ton-koronoio-o-kalyteros
  Ελλάδα   ΕΟΦ: Η αντένδειξη για το εμβόλιο της AstraZeneca από τον ΕΜΑ ,https://www.lifo.gr/now/greece/eof-i-antendeixi-gia-embolio-tis-astrazeneca-apo-ton-ema-gia-syndromo-diafygis
"  Διεθνή   Θεόδωρος Βασιλακόπουλος: «Αν δεν χτίσουμε τείχος ανοσίας, είναι βέβαιο το 4ο κύμα πανδημίας» ",https://www.lifo.gr/now/world/theodoros-basilakopoylos-den-htisoyme-teihos-anosias-einai-bebaio-4o-kyma-pandimias
  Διεθνή   Εμβόλιο AstraZeneca: Εντολή δικαστηρίου να παραδοθούν 50 εκατ. δόσεις στην ΕΕ έως τα τέλη Σεπτεμβρίου ,https://www.lifo.gr/now/world/embolio-astrazeneca-entoli-dikastirioy-na-paradothoyn-50-ekat-doseis-stin-ee-eos-ta-teli
  Τι διαβάζουμε σήμερα   Tο AstraZeneca και η κακή επικοινωνιακή διαχείριση ,https://www.lifo.gr/stiles/ti-diavazoume-simera/astrazeneca-kai-i-kaki-epikoinoniaki-diaheirisi
  Ελλάδα   Επίσημο: AstraZeneca μόνο σε άνω των 60 ετών - Ποιοι δεν πρέπει να κάνουν τη δεύτερη δόση του εμβολίου ,https://www.lifo.gr/now/greece/episimo-astrazeneca-mono-se-ano-ton-60-eton-poioi-den-prepei-na-kanoyn-ti-deyteri-dosi
  Διεθνή   Αξιωματούχος ΕΜΑ: «Όχι» AstraZeneca στους 60+ τώρα που υπάρχουν περισσότερα εμβόλια mRNA ,https://www.lifo.gr/now/world/axiomatoyhos-ema-ohi-astrazeneca-stoys-60-tora-poy-yparhoyn-perissotera-embolia-mrna
  Διεθνή   ΗΠΑ: Περίπου 60 εκατομμύρια δόσεις του εμβολίου της Johnson & Johnson θα πεταχτούν ως ακατάλληλες ,https://www.lifo.gr/now/world/ipa-peripoy-60-ekatommyria-doseis-toy-embolioy-tis-johnson-johnson-tha-petahtoyn-os
  Ελλάδα   ΕΟΦ: Οι επιπλέον οδηγίες του ΕΜΑ για το εμβόλιο AstraZeneca και τις θρομβώσεις ,https://www.lifo.gr/now/greece/eof-oi-epipleon-odigies-toy-ema-gia-embolio-tis-astrazeneca-gia-tis-thromboseis
  Ελλάδα   Κρήτη: Νεκρή η 44χρονη που νοσηλευόταν μετά τον εμβολιασμό της ,https://www.lifo.gr/now/greece/kriti-nekri-i-44hroni-poy-nosileyotan-meta-ton-emboliasmo-me-astrazeneca
  Ελλάδα   Βασιλακόπουλος: Ελάχιστη η πιθανότητα για θρόμβωση ή κάποια επιπλοκή στην δεύτερη δόση του AstraZeneca ,https://www.lifo.gr/now/greece/basilakopoylos-elahisti-i-pithanotita-gia-thrombosi-i-kapoia-epiploki-stin-deyteri-dosi
  Διεθνή   Η Κύπρος συστήνει εμβόλια mRNA για τους κάτω των 50 ετών - «Στροφή» από το AstraZeneca ,https://www.lifo.gr/now/world/i-kypros-systinei-embolia-mrna-gia-toys-kato-ton-50-eton-strofi-apo-astrazeneca
  Διεθνή   Θρομβώσεις από εμβόλια AstraZeneca και J&J: Επιστήμονες πιστεύουν ότι έλυσαν τον γρίφο ,https://www.lifo.gr/now/world/thromboseis-apo-embolia-astrazeneca-kai-jj-epistimones-pisteyoyn-oti-elysan-ton-grifo
  Διεθνή   Εμβόλιο AstraZeneca: Η ΕΕ προσπαθεί να εξασφαλίσει δικαστική εντολή για άμεση παράδοση δόσεων ,https://www.lifo.gr/now/world/embolio-astrazeneca-i-ee-prospathei-na-exasfalisei-dikastiki-entoli-gia-amesi-paradosi
  Ελλάδα   Διακομιδή 36χρονης από τη Λέσβο με συμπτώματα θρόμβωσης ,https://www.lifo.gr/now/greece/diakomidi-36hronis-apo-ti-lesbo-me-symptomata-thrombosis
  Ελλάδα   Ηράκλειο: Σταθερά κρίσιμη η κατάσταση της 44χρονης- Στη ΜΕΘ μετά τον εμβολιασμό της με AstraZeneca ,https://www.lifo.gr/now/greece/irakleio-stathera-krisimi-i-katastasi-tis-44hronis-sti-meth-meta-ton-emboliasmo-tis-me
  Διεθνή   Μαλάουι: Στην «πυρά» χιλιάδες δόσεις εμβολίου κατά του κορωνοϊού ,https://www.lifo.gr/now/world/malaoyi-stin-pyra-hiliades-doseis-embolioy-kata-toy-koronoioy
  Ελλάδα   Δεύτερη θρόμβωση για 35χρονο στην Κρήτη μετά από εμβολιασμό - Τι λέει ο διοικητής του ΠΑΓΝΗ ,https://www.lifo.gr/now/greece/deyteri-thrombosi-gia-35hrono-stin-kriti-meta-apo-emboliasmo-ti-leei-o-dioikitis-toy
  Διεθνή   Financial Times: Αναφορές ότι το εμβόλιο της AstraZeneca προστατεύει από την ινδική μετάλλαξη ,https://www.lifo.gr/now/world/financial-times-anafores-oti-embolio-tis-astrazeneca-prostateyei-apo-tin-indiki-metallaxi
